iter	Passed	Remaining
592	37413	25678
593	37475	25614
594	37566	25570
595	37644	25517
596	37711	25456
597	37769	25390
598	37830	25325
599	37896	25264
600	37961	25202
601	38028	25141
602	38098	25082
603	38163	25021
604	38232	24961
605	38297	24899
606	38357	24834
607	38414	24767
608	38470	24699
609	38531	24634
610	38616	24585
611	38676	24520
612	38734	24453
613	38823	24406
614	38890	24346
615	38951	24281
616	39018	24220
617	39102	24169
618	39308	24194
619	39382	24137
620	39454	24079
621	39516	24014
622	39601	23964
623	39664	23900
624	39728	23836
625	39796	23775
626	39854	23709
627	39915	23644
628	39965	23572
629	40025	23506
630	40077	23436
631	40146	23376
632	40201	23308
633	40261	23242
634	40318	23175
635	40377	23109
636	40433	23041
637	40484	22970
638	40550	22908
639	40601	22838
640	40688	22788
641	40745	22721
642	40805	22655
643	40867	22591
644	40929	22527
645	40984	22459
646	41038	22390
647	41098	22325
648	41153	22257
649	41214	22192
650	41273	22126
651	41330	22059
652	41388	21993
653	41441	21924
654	41500	21859
655	41552	21789
656	41606	21721
657	41662	21654
658	41722	21589
659	41785	21525
660	41843	21460
661	41904	21395
662	41956	21326
663	42013	21259
664	42075	21196
665	42131	21128
666	42189	21062
667	42248	20997
668	42309	20933
669	42370	20869
670	42427	20802
671	42477	20733
672	42528	20663
673	42584	20597
674	42636	20528
675	42691	20461
676	42752	20397
677	42826	20339
678	42894	20278
679	42950	20212
680	43014	20149
681	43069	20082
682	43126	20016
683	43177	19947
684	43235	19882
685	43296	19818
686	43354	19752
687	43414	19687
688	43473	19623
689	43531	19557
690	43583	19489
691	43640	19423
692	43690	19354
693	43758	19294
694	43816	19228
695	43875	19163
696	43937	19100
697	44000	19037
698	44050	18968
699	44105	18902
700	44157	18834
701	44217	18770
702	44272	18703
703	44336	18641
704	44390	18574
705	44445	18508
706	44504	18443
707	44561	18378
708	44612	18310
709	44671	18246
710	44721	18177
711	44776	18111
712	44833	18046
713	44894	17983
714	44947	17916
715	44998	17848
716	45049	17781
717	45101	17713
718	45158	17648
719	45210	17581
720	45262	17514
721	45316	17448
722	45377	17385
723	45439	17322
724	45494	17256
725	45548	17190
726	45605	17125
727	45683	17068
728	45743	17004
729	45819	16947
730	45882	16884
731	45946	16822
732	46011	16759
733	46073	16696
734	46131	16632
735	46187	16567
736	46246	16503
737	46316	16443
738	46378	16379
739	46431	16313
740	46487	16248
741	46543	16183
742	46598	16118
743	46649	16051
744	46707	15987
745	46760	15921
746	46817	15856
747	46873	15791
748	46933	15728
749	46991	15663
750	47044	15598
751	47101	15533
752	47159	15469
753	47222	15406
754	47279	15342
755	47351	15282
756	47408	15218
757	47462	15153
758	47519	15088
759	47581	15025
760	47634	14960
761	47692	14895
762	47746	14830
763	47799	14765
764	47894	14712
765	47968	14653
766	48033	14591
767	48093	14528
768	48145	14462
769	48199	14397
770	48257	14333
771	48316	14269
772	48383	14208
773	48435	14142
774	48495	14079
775	48551	14014
776	48605	13949
777	48665	13886
778	48729	13824
779	48779	13758
780	48839	13695
781	48898	13631
782	48974	13572
783	49033	13509
784	49090	13445
785	49140	13379
786	49199	13315
787	49255	13251
788	49316	13188
789	49370	13123
790	49436	13062
791	49493	12998
792	49549	12934
793	49601	12869
794	49659	12805
795	49710	12739
796	49775	12677
797	49834	12614
798	49893	12551
799	49958	12489
800	50026	12428
801	50079	12363
802	50139	12300
803	50190	12235
804	50255	12173
805	50312	12110
806	50370	12046
807	50426	11982
808	50490	11920
809	50542	11855
810	50595	11790
811	50656	11728
812	50708	11663
813	50760	11598
814	50811	11533
815	50862	11468
816	50936	11409
817	51001	11347
818	51053	11282
819	51104	11218
820	51156	11153
821	51206	11088
822	51262	11024
823	51318	10961
824	51371	10896
825	51433	10834
826	51489	10771
827	51548	10708
828	51601	10644
829	51652	10579
830	51715	10517
831	51765	10452
832	51816	10388
833	51875	10325
834	51934	10262
835	52008	10202
836	52070	10140
837	52126	10077
838	52185	10014
839	52244	9951
840	52309	9889
841	52375	9828
842	52478	9773
843	52587	9720
844	52681	9663
845	52757	9603
846	52821	9541
847	52891	9480
848	52949	9417
849	53047	9361
850	53116	9300
851	53177	9237
852	53233	9173
853	53312	9114
854	53373	9051
855	53459	8993
856	53579	8940
857	53634	8876
858	53700	8814
859	53762	8752
860	53821	8688
861	53878	8625
862	53948	8564
863	54028	8504
864	54103	8443
865	54181	8383
866	54250	8322
867	54309	8259
868	54385	8198
869	54448	8135
870	54501	8072
871	54566	8009
872	54620	7945
873	54676	7882
874	54740	7820
875	54795	7756
876	54856	7693
877	54911	7630
878	54964	7566
879	55029	7504
880	55088	7441
881	55143	7377
882	55204	7314
883	55257	7251
884	55314	7187
885	55366	7123
886	55435	7062
887	55492	6999
888	55546	6935
889	55610	6873
890	55665	6809
891	55723	6746
892	55778	6683
893	55830	6619
894	55881	6555
895	55934	6492
896	55985	6428
897	56040	6365
898	56114	6304
899	56165	6240
900	56218	6177
901	56270	6113
902	56328	6050
903	56383	5987
904	56438	5924
905	56488	5860
906	56542	5797
907	56597	5734
908	56651	5671
909	56704	5608
910	56758	5545
911	56815	5482
912	56868	5419
913	56925	5356
914	56978	5293
915	57050	5231
916	57103	5168
917	57161	5105
918	57217	5043
919	57269	4979
920	57326	4917
921	57383	4854
922	57433	4791
923	57486	4728
924	57539	4665
925	57595	4602
926	57650	4539
927	57704	4477
928	57762	4414
929	57814	4351
930	57875	4289
931	57926	4226
932	57983	4163
933	58041	4101
934	58110	4039
935	58179	3978
936	58257	3916
937	58318	3854
938	58375	3792
939	58433	3729
940	58486	3667
941	58549	3604
942	58604	3542
943	58658	3479
944	58719	3417
945	58778	3355
946	58830	3292
947	58879	3229
948	58931	3167
949	58982	3104
950	59036	3041
951	59096	2979
952	59147	2917
953	59198	2854
954	59264	2792
955	59316	2730
956	59369	2667
957	59423	2605
958	59480	2542
959	59536	2480
960	59590	2418
961	59641	2355
962	59693	2293
963	59743	2231
964	59800	2168
965	59851	2106
966	59905	2044
967	59956	1982
968	60011	1919
969	60069	1857
970	60121	1795
971	60172	1733
972	60228	1671
973	60278	1609
974	60327	1546
975	60389	1484
976	60448	1423
977	60503	1361
978	60558	1299
979	60621	1237
980	60675	1175
981	60728	1113
982	60781	1051
983	60842	989
984	60893	927
985	60945	865
986	61002	803
987	61059	741
988	61125	679
989	61179	617
990	61235	556
991	61297	494
992	61352	432
993	61410	370
994	61463	308
995	61523	247
996	61587	185
997	61647	123
998	61705	61
999	61757	0
