iter	RMSE
0	17.56665752
1	17.27971903
2	16.99726988
3	16.71249399
4	16.46953324
5	16.25593593
6	16.03077921
7	15.80649467
8	15.60074059
9	15.39988894
10	15.20186853
11	15.01373943
12	14.83804564
13	14.68725403
14	14.51739286
15	14.36430199
16	14.24381587
17	14.09727436
18	13.97843502
19	13.84326621
20	13.71048328
21	13.58323575
22	13.46911105
23	13.35118376
24	13.25436598
25	13.14416876
26	13.03669392
27	12.94625823
28	12.87012547
29	12.79445009
30	12.67721775
31	12.60447177
32	12.52049353
33	12.43234201
34	12.36416184
35	12.31390835
36	12.25292228
37	12.1839469
38	12.12883423
39	12.08158048
40	12.02833483
41	11.97540657
42	11.90127322
43	11.84848444
44	11.80150678
45	11.75342893
46	11.71756665
47	11.65802771
48	11.62053637
49	11.57417301
50	11.52081495
51	11.48207459
52	11.44702766
53	11.39540639
54	11.36644015
55	11.33454696
56	11.30297059
57	11.27878068
58	11.24508234
59	11.22745873
60	11.19535661
61	11.13454521
62	11.11540557
63	11.08666898
64	11.06272623
65	11.02868739
66	11.00737662
67	10.95409553
68	10.91323247
69	10.89347976
70	10.85957178
71	10.79561102
72	10.77601309
73	10.75705435
74	10.71147833
75	10.6985197
76	10.67810302
77	10.65029286
78	10.63413882
79	10.60984901
80	10.59110972
81	10.54748306
82	10.52134152
83	10.50634906
84	10.45482664
85	10.43643532
86	10.42434939
87	10.39315801
88	10.37726157
89	10.35824468
90	10.33975851
91	10.30762875
92	10.29602859
93	10.27620727
94	10.26489904
95	10.24914025
96	10.23500516
97	10.20237222
98	10.18395597
99	10.16691723
100	10.12847546
101	10.09001787
102	10.08878625
103	10.05783886
104	10.0235929
105	9.991925044
106	9.974363003
107	9.959188461
108	9.946744689
109	9.930399634
110	9.915830767
111	9.904549043
112	9.89507995
113	9.880013059
114	9.847874012
115	9.82806278
116	9.819369116
117	9.780870633
118	9.774729592
119	9.765577278
120	9.75046681
121	9.731430219
122	9.720335028
123	9.710655762
124	9.664145233
125	9.650848591
126	9.643377009
127	9.626394281
128	9.609844106
129	9.599970044
130	9.584077789
131	9.572028373
132	9.567712513
133	9.553244231
134	9.539182837
135	9.52675137
136	9.502766005
137	9.491358387
138	9.470245334
139	9.451688597
140	9.442148875
141	9.43649907
142	9.416370933
143	9.408676382
144	9.389850284
145	9.338036371
146	9.330059897
147	9.306357889
148	9.26428822
149	9.249855633
150	9.238457417
151	9.227963221
152	9.222805602
153	9.212224418
154	9.184858324
155	9.173810814
156	9.162777734
157	9.151664448
158	9.126895344
159	9.101971638
160	9.084227034
161	9.075333215
162	9.065458151
163	9.053759979
164	9.036313204
165	9.025677344
166	9.002053106
167	8.993492768
168	8.975549231
169	8.966009399
170	8.933953084
171	8.930345657
172	8.920815517
173	8.910746924
174	8.89374839
175	8.881174196
176	8.877347521
177	8.874124745
178	8.862236902
179	8.849874867
180	8.844603803
181	8.836588495
182	8.829897625
183	8.815397248
184	8.807701353
185	8.801366421
186	8.794150192
187	8.781485899
188	8.775192677
189	8.754501038
190	8.746534248
191	8.735121818
192	8.730013167
193	8.722176677
194	8.708489533
195	8.698327467
196	8.687754521
197	8.679395088
198	8.674615851
199	8.667252103
200	8.65668764
201	8.65192338
202	8.648461289
203	8.646193243
204	8.639747831
205	8.63774304
206	8.628635169
207	8.620208435
208	8.614543991
209	8.607519894
210	8.597334064
211	8.587114015
212	8.558429629
213	8.544214302
214	8.534110521
215	8.524112796
216	8.51609038
217	8.509147567
218	8.502784917
219	8.492827155
220	8.486152299
221	8.480563797
222	8.473212765
223	8.46708549
224	8.460781186
225	8.450629584
226	8.437760262
227	8.43312197
228	8.427369244
229	8.418872617
230	8.413089339
231	8.40772862
232	8.394704564
233	8.387330502
234	8.382381359
235	8.366403079
236	8.364887813
237	8.358229201
238	8.351931692
239	8.341081898
240	8.329259942
241	8.326169798
242	8.321028777
243	8.319790376
244	8.318588461
245	8.312689003
246	8.307104473
247	8.293045159
248	8.289270194
249	8.282778539
250	8.278543804
251	8.276139939
252	8.268597286
253	8.262698991
254	8.261604152
255	8.257751819
256	8.250726189
257	8.239764975
258	8.233291388
259	8.228798866
260	8.220259472
261	8.215205689
262	8.213154132
263	8.20836791
264	8.201862035
265	8.195986467
266	8.169451042
267	8.163213077
268	8.156495444
269	8.150579526
270	8.138450409
271	8.131699289
272	8.127977857
273	8.124938746
274	8.120308724
275	8.115010947
276	8.111109113
277	8.107408198
278	8.096649278
279	8.090715476
280	8.086213588
281	8.063528623
282	8.060858265
283	8.056148064
284	8.053920173
285	8.049518646
286	8.046287154
287	8.044037921
288	8.040945176
289	8.036350951
290	8.032223916
291	8.022524523
292	8.019280837
293	8.011536111
294	8.006822991
295	8.002148235
296	7.998178412
297	7.992577913
298	7.988722373
299	7.984839943
300	7.981607782
301	7.975887191
302	7.969910095
303	7.965716594
304	7.957238786
305	7.949184086
306	7.942754796
307	7.9388807
308	7.934985155
309	7.931865741
310	7.919300872
311	7.914641792
312	7.907061035
313	7.904078573
314	7.893756283
315	7.887328765
316	7.883766723
317	7.881329739
318	7.876885771
319	7.871773087
320	7.868557243
321	7.856877035
322	7.853470845
323	7.837701611
324	7.83209667
325	7.829197361
326	7.821974891
327	7.817671168
328	7.810425515
329	7.806812362
330	7.797206457
331	7.783804084
332	7.780633137
333	7.767107472
334	7.761359531
335	7.754388309
336	7.744514902
337	7.74257905
338	7.740872739
339	7.73087466
340	7.727182159
341	7.723733873
342	7.72198548
343	7.716792874
344	7.709768901
345	7.705282719
346	7.702079203
347	7.698968609
348	7.69524452
349	7.692652803
350	7.68713726
351	7.684634593
352	7.675262958
353	7.671457747
354	7.667331048
355	7.665731175
356	7.661780973
357	7.653998385
358	7.65030254
359	7.644432055
360	7.640922073
361	7.637703313
362	7.632439897
363	7.630959603
364	7.622238853
365	7.617871593
366	7.613123213
367	7.611640217
368	7.602934026
369	7.595870419
370	7.593536682
371	7.588628134
372	7.587183654
373	7.581574283
374	7.575787914
375	7.565838424
376	7.558216608
377	7.55134326
378	7.544925907
379	7.542511751
380	7.538852791
381	7.533820449
382	7.52936437
383	7.521077176
384	7.517594032
385	7.510575814
386	7.507798757
387	7.506110302
388	7.503903331
389	7.501821442
390	7.499828984
391	7.493943404
392	7.487710791
393	7.481929831
394	7.479814507
395	7.476727055
396	7.474408866
397	7.468226289
398	7.461877823
399	7.458507324
400	7.45551676
401	7.448642369
402	7.443716503
403	7.440000864
404	7.430171251
405	7.42886366
406	7.415187929
407	7.409682648
408	7.403738425
409	7.396693324
410	7.391075819
411	7.386091615
412	7.380696046
413	7.367924439
414	7.365812676
415	7.357718512
416	7.354394857
417	7.347658273
418	7.342737374
419	7.330744056
420	7.325282555
421	7.321480131
422	7.313055219
423	7.300338255
424	7.298648414
425	7.295404978
426	7.292204087
427	7.28667713
428	7.283656068
429	7.278268737
430	7.27461754
431	7.273035262
432	7.271047029
433	7.268397271
434	7.265946079
435	7.259015477
436	7.254278333
437	7.248899364
438	7.246812098
439	7.244431111
440	7.240218979
441	7.235678959
442	7.233773426
443	7.231426378
444	7.227742588
445	7.225012566
446	7.223346463
447	7.219067449
448	7.217656446
449	7.214160127
450	7.206551555
451	7.203311819
452	7.197763464
453	7.187039141
454	7.18462747
455	7.180001503
456	7.17862463
457	7.174585397
458	7.171966888
459	7.170065975
460	7.167433917
461	7.165586823
